Bits,InputPower,OutputPower,DelayBit,OutputPowerWithoutDelay,,
0,9.99E-07,2.57E-07,31.046875,1.23E-08,,
0.015625,9.99E-07,1.63E-07,69.359375,8.47E-09,,
0.03125,9.99E-07,1.53E-07,3.83E+01,1.01E-08,,
0.046875,9.99E-07,2.43E-07,,9.77E-09,,
0.0625,9.99E-07,4.25E-07,,7.69E-09,,
0.078125,9.99E-07,7.45E-07,,1.05E-08,,
0.09375,9.99E-07,1.10E-06,,6.95E-09,,
0.109375,9.99E-07,1.52E-06,,9.66E-09,,
0.125,9.99E-07,1.78E-06,,7.86E-09,,
0.140625,9.99E-07,1.79E-06,,7.95E-09,,
0.15625,9.99E-07,1.72E-06,,8.38E-09,,
0.171875,9.99E-07,1.46E-06,,6.72E-09,,
0.1875,9.99E-07,1.18E-06,,8.31E-09,,
0.203125,9.99E-07,1.06E-06,,6.37E-09,,
0.21875,9.99E-07,8.51E-07,,8.17E-09,,
0.234375,9.99E-07,5.74E-07,,6.01E-09,,
0.25,9.99E-07,4.79E-07,,8.27E-09,,
0.265625,9.99E-07,5.87E-07,,6.10E-09,,
0.28125,9.99E-07,7.74E-07,,8.07E-09,,
0.296875,9.99E-07,1.11E-06,,6.98E-09,,
0.3125,9.99E-07,1.40E-06,,6.64E-09,,
0.328125,9.99E-07,1.67E-06,,8.28E-09,,
0.34375,9.99E-07,1.93E-06,,6.03E-09,,
0.359375,9.99E-07,2.26E-06,,8.70E-09,,
0.375,9.99E-07,2.17E-06,,7.44E-09,,
0.390625,9.99E-07,1.93E-06,,6.97E-09,,
0.40625,9.99E-07,1.56E-06,,9.84E-09,,
0.421875,9.99E-07,1.07E-06,,5.64E-09,,
0.4375,9.99E-07,5.81E-07,,1.08E-08,,
0.453125,9.99E-07,2.88E-07,,6.11E-09,,
0.46875,9.99E-07,9.84E-08,,8.69E-09,,
0.484375,9.99E-07,9.46E-09,,8.46E-09,,
0.5,9.99E-07,1.93E-08,,7.05E-09,,
0.515625,9.99E-07,7.37E-08,,1.06E-08,,
0.53125,9.99E-07,6.79E-08,,7.35E-09,,
0.546875,9.99E-07,8.58E-08,,1.05E-08,,
0.5625,9.99E-07,1.48E-07,,8.89E-09,,
0.578125,9.99E-07,2.26E-07,,1.05E-08,,
0.59375,9.99E-07,2.43E-07,,9.92E-09,,
0.609375,9.99E-07,1.89E-07,,1.23E-08,,
0.625,9.99E-07,1.11E-07,,9.92E-09,,
0.640625,9.99E-07,9.50E-08,,1.35E-08,,
0.65625,9.99E-07,1.06E-07,,1.02E-08,,
0.671875,9.99E-07,2.00E-07,,1.34E-08,,
0.6875,9.99E-07,4.59E-07,,1.22E-08,,
0.703125,9.99E-07,6.91E-07,,1.24E-08,,
0.71875,9.99E-07,8.04E-07,,1.39E-08,,
0.734375,9.99E-07,7.53E-07,,1.31E-08,,
0.75,9.99E-07,6.34E-07,,1.36E-08,,
0.765625,9.99E-07,5.34E-07,,1.48E-08,,
0.78125,9.99E-07,4.25E-07,,1.38E-08,,
0.796875,9.99E-07,3.54E-07,,1.68E-08,,
0.8125,9.99E-07,3.64E-07,,1.56E-08,,
0.828125,9.99E-07,6.44E-07,,1.57E-08,,
0.84375,9.99E-07,1.15E-06,,1.81E-08,,
0.859375,9.99E-07,1.78E-06,,1.45E-08,,
0.875,9.99E-07,2.38E-06,,2.05E-08,,
0.890625,9.99E-07,3.03E-06,,1.52E-08,,
0.90625,9.99E-07,3.52E-06,,2.04E-08,,
0.921875,9.99E-07,3.75E-06,,1.61E-08,,
0.9375,9.99E-07,3.33E-06,,1.94E-08,,
0.953125,9.99E-07,3.00E-06,,1.71E-08,,
0.96875,9.99E-07,3.04E-06,,1.96E-08,,
0.984375,9.99E-07,3.26E-06,,1.71E-08,,
1,9.99E-07,3.69E-06,,2.09E-08,,
1.015625,9.99E-07,4.44E-06,,1.74E-08,,
1.03125,9.99E-07,5.05E-06,,2.05E-08,,
1.046875,9.99E-07,5.28E-06,,1.92E-08,,
1.0625,9.99E-07,4.97E-06,,1.85E-08,,
1.078125,9.99E-07,4.47E-06,,2.08E-08,,
1.09375,9.99E-07,4.68E-06,,1.68E-08,,
1.109375,9.99E-07,5.30E-06,,2.13E-08,,
1.125,9.99E-07,5.53E-06,,1.65E-08,,
1.140625,9.99E-07,5.50E-06,,2.04E-08,,
1.15625,9.99E-07,4.94E-06,,1.64E-08,,
1.171875,9.99E-07,4.50E-06,,1.91E-08,,
1.1875,9.99E-07,4.29E-06,,1.61E-08,,
1.203125,9.99E-07,3.99E-06,,1.90E-08,,
1.21875,9.99E-07,3.79E-06,,1.72E-08,,
1.234375,9.99E-07,3.91E-06,,1.87E-08,,
1.25,9.99E-07,4.69E-06,,1.66E-08,,
1.265625,9.99E-07,5.55E-06,,1.77E-08,,
1.28125,9.99E-07,6.26E-06,,1.62E-08,,
1.296875,9.99E-07,7.39E-06,,1.65E-08,,
1.3125,9.99E-07,8.67E-06,,1.65E-08,,
1.328125,9.99E-07,9.99E-06,,1.48E-08,,
1.34375,9.99E-07,1.09E-05,,1.68E-08,,
1.359375,9.99E-07,1.15E-05,,1.35E-08,,
1.375,9.99E-07,1.10E-05,,1.63E-08,,
1.390625,9.99E-07,1.05E-05,,1.33E-08,,
1.40625,9.99E-07,9.95E-06,,1.42E-08,,
1.421875,9.99E-07,9.63E-06,,1.43E-08,,
1.4375,9.99E-07,9.30E-06,,1.29E-08,,
1.453125,9.99E-07,8.51E-06,,1.39E-08,,
1.46875,9.99E-07,7.80E-06,,1.25E-08,,
1.484375,9.99E-07,7.69E-06,,1.26E-08,,
1.5,9.99E-07,8.03E-06,,1.30E-08,,
1.515625,9.99E-07,8.19E-06,,1.28E-08,,
1.53125,9.99E-07,8.23E-06,,1.27E-08,,
1.546875,9.99E-07,8.44E-06,,1.42E-08,,
1.5625,9.99E-07,9.13E-06,,1.22E-08,,
1.578125,9.99E-07,1.05E-05,,1.42E-08,,
1.59375,9.99E-07,1.14E-05,,1.40E-08,,
1.609375,9.99E-07,1.16E-05,,1.32E-08,,
1.625,9.99E-07,1.18E-05,,1.58E-08,,
1.640625,9.99E-07,1.17E-05,,1.32E-08,,
1.65625,9.99E-07,1.16E-05,,1.59E-08,,
1.671875,9.99E-07,1.17E-05,,1.50E-08,,
1.6875,9.99E-07,1.19E-05,,1.58E-08,,
1.703125,9.99E-07,1.25E-05,,1.66E-08,,
1.71875,9.99E-07,1.36E-05,,1.72E-08,,
1.734375,9.99E-07,1.47E-05,,1.63E-08,,
1.75,9.99E-07,1.51E-05,,2.02E-08,,
1.765625,9.99E-07,1.48E-05,,1.65E-08,,
1.78125,9.99E-07,1.52E-05,,2.05E-08,,
1.796875,9.99E-07,1.60E-05,,1.85E-08,,
1.8125,9.99E-07,1.62E-05,,2.01E-08,,
1.828125,9.99E-07,1.57E-05,,2.10E-08,,
1.84375,9.99E-07,1.51E-05,,2.04E-08,,
1.859375,9.99E-07,1.50E-05,,2.13E-08,,
1.875,9.99E-07,1.50E-05,,2.08E-08,,
1.890625,9.99E-07,1.57E-05,,2.08E-08,,
1.90625,9.99E-07,1.70E-05,,1.98E-08,,
1.921875,9.99E-07,1.84E-05,,2.15E-08,,
1.9375,9.99E-07,1.83E-05,,1.94E-08,,
1.953125,9.99E-07,1.81E-05,,2.10E-08,,
1.96875,9.99E-07,1.74E-05,,1.97E-08,,
1.984375,9.99E-07,1.65E-05,,1.87E-08,,
2,9.99E-07,1.55E-05,,1.95E-08,,
2.015625,9.99E-07,1.44E-05,,1.78E-08,,
2.03125,9.99E-07,1.38E-05,,1.74E-08,,
2.046875,9.99E-07,1.33E-05,,1.83E-08,,
2.0625,9.99E-07,1.21E-05,,1.49E-08,,
2.078125,9.99E-07,1.05E-05,,1.70E-08,,
2.09375,9.99E-07,8.86E-06,,1.52E-08,,
2.109375,9.99E-07,7.88E-06,,1.39E-08,,
2.125,9.99E-07,7.10E-06,,1.64E-08,,
2.140625,9.99E-07,6.59E-06,,1.27E-08,,
2.15625,9.99E-07,6.65E-06,,1.56E-08,,
2.171875,9.99E-07,7.18E-06,,1.42E-08,,
2.1875,9.99E-07,7.07E-06,,1.39E-08,,
2.203125,9.99E-07,6.50E-06,,1.54E-08,,
2.21875,9.99E-07,5.96E-06,,1.51E-08,,
2.234375,9.99E-07,5.00E-06,,1.44E-08,,
2.25,9.99E-07,3.98E-06,,1.76E-08,,
2.265625,9.99E-07,3.41E-06,,1.41E-08,,
2.28125,9.99E-07,3.37E-06,,1.70E-08,,
2.296875,9.99E-07,3.62E-06,,1.58E-08,,
2.3125,9.99E-07,4.11E-06,,1.66E-08,,
2.328125,9.99E-07,4.39E-06,,1.73E-08,,
2.34375,9.99E-07,4.33E-06,,1.76E-08,,
2.359375,9.99E-07,4.46E-06,,1.76E-08,,
2.375,9.99E-07,4.76E-06,,1.86E-08,,
2.390625,9.99E-07,5.37E-06,,1.78E-08,,
2.40625,9.99E-07,5.72E-06,,1.83E-08,,
2.421875,9.99E-07,5.85E-06,,1.89E-08,,
2.4375,9.99E-07,6.26E-06,,1.76E-08,,
2.453125,9.99E-07,6.52E-06,,1.83E-08,,
2.46875,9.99E-07,6.27E-06,,1.79E-08,,
2.484375,9.99E-07,5.74E-06,,1.79E-08,,
2.5,9.99E-07,5.23E-06,,1.69E-08,,
2.515625,9.99E-07,4.72E-06,,1.72E-08,,
