InputPower,OutputPowerWithoutDelay,Previous1OutputPower,Previous2OutputPower,Previous3OutputPower,,
9.99E-06,1.62E-06,1.16E-06,5.13E-07,6.54E-07,,
9.99E-06,1.22E-06,1.62E-06,1.16E-06,5.13E-07,,
9.99E-06,4.30E-07,1.22E-06,1.62E-06,1.16E-06,,
9.99E-06,8.65E-07,4.30E-07,1.22E-06,1.62E-06,,
9.99E-06,1.85E-06,8.65E-07,4.30E-07,1.22E-06,,
9.99E-06,1.51E-06,1.85E-06,8.65E-07,4.30E-07,,
9.99E-06,4.57E-07,1.51E-06,1.85E-06,8.65E-07,,
9.99E-06,6.68E-07,4.57E-07,1.51E-06,1.85E-06,,
9.99E-06,1.95E-06,6.68E-07,4.57E-07,1.51E-06,,
9.99E-06,1.53E-06,1.95E-06,6.68E-07,4.57E-07,,
9.99E-06,6.77E-07,1.53E-06,1.95E-06,6.68E-07,,
9.99E-06,7.58E-07,6.77E-07,1.53E-06,1.95E-06,,
9.99E-06,1.59E-06,7.58E-07,6.77E-07,1.53E-06,,
9.99E-06,1.61E-06,1.59E-06,7.58E-07,6.77E-07,,
9.99E-06,9.62E-07,1.61E-06,1.59E-06,7.58E-07,,
9.99E-06,9.75E-07,9.62E-07,1.61E-06,1.59E-06,,
9.99E-06,1.31E-06,9.75E-07,9.62E-07,1.61E-06,,
9.99E-06,1.39E-06,1.31E-06,9.75E-07,9.62E-07,,
9.99E-06,1.53E-06,1.39E-06,1.31E-06,9.75E-07,,
9.99E-06,1.32E-06,1.53E-06,1.39E-06,1.31E-06,,
9.99E-06,1.16E-06,1.32E-06,1.53E-06,1.39E-06,,
9.99E-06,1.00E-06,1.16E-06,1.32E-06,1.53E-06,,
9.99E-06,1.80E-06,1.00E-06,1.16E-06,1.32E-06,,
9.99E-06,1.98E-06,1.80E-06,1.00E-06,1.16E-06,,
9.99E-06,6.33E-07,1.98E-06,1.80E-06,1.00E-06,,
9.99E-06,7.78E-07,6.33E-07,1.98E-06,1.80E-06,,
9.99E-06,2.20E-06,7.78E-07,6.33E-07,1.98E-06,,
9.99E-06,1.51E-06,2.20E-06,7.78E-07,6.33E-07,,
9.99E-06,1.17E-06,1.51E-06,2.20E-06,7.78E-07,,
9.99E-06,7.03E-07,1.17E-06,1.51E-06,2.20E-06,,
9.99E-06,1.22E-06,7.03E-07,1.17E-06,1.51E-06,,
9.99E-06,2.40E-06,1.22E-06,7.03E-07,1.17E-06,,
9.99E-06,1.14E-06,2.40E-06,1.22E-06,7.03E-07,,
9.99E-06,4.30E-07,1.14E-06,2.40E-06,1.22E-06,,
9.99E-06,1.51E-06,4.30E-07,1.14E-06,2.40E-06,,
9.99E-06,2.04E-06,1.51E-06,4.30E-07,1.14E-06,,
9.99E-06,9.34E-07,2.04E-06,1.51E-06,4.30E-07,,
9.99E-06,9.45E-07,9.34E-07,2.04E-06,1.51E-06,,
9.99E-06,1.41E-06,9.45E-07,9.34E-07,2.04E-06,,
9.99E-06,1.01E-06,1.41E-06,9.45E-07,9.34E-07,,
9.99E-06,1.02E-06,1.01E-06,1.41E-06,9.45E-07,,
9.99E-06,1.65E-06,1.02E-06,1.01E-06,1.41E-06,,
9.99E-06,1.16E-06,1.65E-06,1.02E-06,1.01E-06,,
9.99E-06,6.65E-07,1.16E-06,1.65E-06,1.02E-06,,
9.99E-06,6.34E-07,6.65E-07,1.16E-06,1.65E-06,,
9.99E-06,1.72E-06,6.34E-07,6.65E-07,1.16E-06,,
9.99E-06,1.65E-06,1.72E-06,6.34E-07,6.65E-07,,
9.99E-06,3.41E-07,1.65E-06,1.72E-06,6.34E-07,,
9.99E-06,5.59E-07,3.41E-07,1.65E-06,1.72E-06,,
9.99E-06,1.56E-06,5.59E-07,3.41E-07,1.65E-06,,
9.99E-06,1.86E-06,1.56E-06,5.59E-07,3.41E-07,,
9.99E-06,6.80E-07,1.86E-06,1.56E-06,5.59E-07,,
9.99E-06,1.69E-07,6.80E-07,1.86E-06,1.56E-06,,
9.99E-06,1.14E-06,1.69E-07,6.80E-07,1.86E-06,,
9.99E-06,1.68E-06,1.14E-06,1.69E-07,6.80E-07,,
9.99E-06,1.17E-06,1.68E-06,1.14E-06,1.69E-07,,
9.99E-06,3.60E-07,1.17E-06,1.68E-06,1.14E-06,,
9.99E-06,5.49E-07,3.60E-07,1.17E-06,1.68E-06,,
9.99E-06,1.15E-06,5.49E-07,3.60E-07,1.17E-06,,
9.99E-06,1.63E-06,1.15E-06,5.49E-07,3.60E-07,,
9.99E-06,7.87E-07,1.63E-06,1.15E-06,5.49E-07,,
9.99E-06,5.42E-07,7.87E-07,1.63E-06,1.15E-06,,
9.99E-06,9.45E-07,5.42E-07,7.87E-07,1.63E-06,,
9.99E-06,1.34E-06,9.45E-07,5.42E-07,7.87E-07,,
9.99E-06,9.41E-07,1.34E-06,9.45E-07,5.42E-07,,
9.99E-06,1.60E-06,9.41E-07,1.34E-06,9.45E-07,,
9.99E-06,7.76E-07,1.60E-06,9.41E-07,1.34E-06,,
9.99E-06,8.64E-07,7.76E-07,1.60E-06,9.41E-07,,
9.99E-06,1.43E-06,8.64E-07,7.76E-07,1.60E-06,,
9.99E-06,1.49E-06,1.43E-06,8.64E-07,7.76E-07,,
9.99E-06,1.16E-06,1.49E-06,1.43E-06,8.64E-07,,
9.99E-06,1.25E-06,1.16E-06,1.49E-06,1.43E-06,,
9.99E-06,8.46E-07,1.25E-06,1.16E-06,1.49E-06,,
9.99E-06,9.46E-07,8.46E-07,1.25E-06,1.16E-06,,
9.99E-06,2.21E-06,9.46E-07,8.46E-07,1.25E-06,,
9.99E-06,1.81E-06,2.21E-06,9.46E-07,8.46E-07,,
9.99E-06,4.55E-07,1.81E-06,2.21E-06,9.46E-07,,
9.99E-06,7.41E-07,4.55E-07,1.81E-06,2.21E-06,,
9.99E-06,2.00E-06,7.41E-07,4.55E-07,1.81E-06,,
9.99E-06,2.04E-06,2.00E-06,7.41E-07,4.55E-07,,
9.99E-06,4.26E-07,2.04E-06,2.00E-06,7.41E-07,,
9.99E-06,1.15E-06,4.26E-07,2.04E-06,2.00E-06,,
9.99E-06,1.38E-06,1.15E-06,4.26E-07,2.04E-06,,
9.99E-06,9.10E-07,1.38E-06,1.15E-06,4.26E-07,,
9.99E-06,1.14E-06,9.10E-07,1.38E-06,1.15E-06,,
9.99E-06,2.11E-06,1.14E-06,9.10E-07,1.38E-06,,
9.99E-06,6.94E-07,2.11E-06,1.14E-06,9.10E-07,,
9.99E-06,2.73E-07,6.94E-07,2.11E-06,1.14E-06,,
9.99E-06,9.98E-07,2.73E-07,6.94E-07,2.11E-06,,
9.99E-06,2.55E-06,9.98E-07,2.73E-07,6.94E-07,,
9.99E-06,1.38E-06,2.55E-06,9.98E-07,2.73E-07,,
9.99E-06,2.56E-07,1.38E-06,2.55E-06,9.98E-07,,
9.99E-06,4.39E-07,2.56E-07,1.38E-06,2.55E-06,,
9.99E-06,1.66E-06,4.39E-07,2.56E-07,1.38E-06,,
9.99E-06,2.03E-06,1.66E-06,4.39E-07,2.56E-07,,
9.99E-06,8.42E-07,2.03E-06,1.66E-06,4.39E-07,,
9.99E-06,4.29E-07,8.42E-07,2.03E-06,1.66E-06,,
9.99E-06,7.94E-07,4.29E-07,8.42E-07,2.03E-06,,
9.99E-06,1.42E-06,7.94E-07,4.29E-07,8.42E-07,,
9.99E-06,1.69E-06,1.42E-06,7.94E-07,4.29E-07,,
9.99E-06,1.26E-06,1.69E-06,1.42E-06,7.94E-07,,
9.99E-06,3.93E-07,1.26E-06,1.69E-06,1.42E-06,,
9.99E-06,8.92E-07,3.93E-07,1.26E-06,1.69E-06,,
9.99E-06,1.97E-06,8.92E-07,3.93E-07,1.26E-06,,
9.99E-06,1.24E-06,1.97E-06,8.92E-07,3.93E-07,,
9.99E-06,7.80E-07,1.24E-06,1.97E-06,8.92E-07,,
9.99E-06,1.36E-06,7.80E-07,1.24E-06,1.97E-06,,
9.99E-06,9.83E-07,1.36E-06,7.80E-07,1.24E-06,,
9.99E-06,5.96E-07,9.83E-07,1.36E-06,7.80E-07,,
9.99E-06,1.36E-06,5.96E-07,9.83E-07,1.36E-06,,
9.99E-06,1.71E-06,1.36E-06,5.96E-07,9.83E-07,,
9.99E-06,8.12E-07,1.71E-06,1.36E-06,5.96E-07,,
9.99E-06,8.22E-07,8.12E-07,1.71E-06,1.36E-06,,
9.99E-06,8.09E-07,8.22E-07,8.12E-07,1.71E-06,,
9.99E-06,9.26E-07,8.09E-07,8.22E-07,8.12E-07,,
9.99E-06,1.29E-06,9.26E-07,8.09E-07,8.22E-07,,
9.99E-06,1.58E-06,1.29E-06,9.26E-07,8.09E-07,,
9.99E-06,7.80E-07,1.58E-06,1.29E-06,9.26E-07,,
9.99E-06,2.16E-07,7.80E-07,1.58E-06,1.29E-06,,
9.99E-06,1.28E-06,2.16E-07,7.80E-07,1.58E-06,,
9.99E-06,1.70E-06,1.28E-06,2.16E-07,7.80E-07,,
9.99E-06,1.23E-06,1.70E-06,1.28E-06,2.16E-07,,
9.99E-06,5.00E-07,1.23E-06,1.70E-06,1.28E-06,,
9.99E-06,1.09E-06,5.00E-07,1.23E-06,1.70E-06,,
9.99E-06,1.12E-06,1.09E-06,5.00E-07,1.23E-06,,
9.99E-06,5.16E-07,1.12E-06,1.09E-06,5.00E-07,,
9.99E-06,1.59E-06,5.16E-07,1.12E-06,1.09E-06,,
9.99E-06,2.44E-06,1.59E-06,5.16E-07,1.12E-06,,
9.99E-06,6.14E-07,2.44E-06,1.59E-06,5.16E-07,,
9.99E-06,2.28E-07,6.14E-07,2.44E-06,1.59E-06,,
9.99E-06,1.29E-06,2.28E-07,6.14E-07,2.44E-06,,
9.99E-06,1.90E-06,1.29E-06,2.28E-07,6.14E-07,,
9.99E-06,2.42E-06,1.90E-06,1.29E-06,2.28E-07,,
9.99E-06,1.11E-06,2.42E-06,1.90E-06,1.29E-06,,
9.99E-06,1.40E-07,1.11E-06,2.42E-06,1.90E-06,,
9.99E-06,9.44E-07,1.40E-07,1.11E-06,2.42E-06,,
9.99E-06,2.27E-06,9.44E-07,1.40E-07,1.11E-06,,
9.99E-06,2.45E-06,2.27E-06,9.44E-07,1.40E-07,,
9.99E-06,7.74E-07,2.45E-06,2.27E-06,9.44E-07,,
9.99E-06,3.09E-07,7.74E-07,2.45E-06,2.27E-06,,
9.99E-06,4.96E-07,3.09E-07,7.74E-07,2.45E-06,,
9.99E-06,1.67E-06,4.96E-07,3.09E-07,7.74E-07,,
9.99E-06,2.53E-06,1.67E-06,4.96E-07,3.09E-07,,
9.99E-06,1.44E-06,2.53E-06,1.67E-06,4.96E-07,,
9.99E-06,4.23E-07,1.44E-06,2.53E-06,1.67E-06,,
9.99E-06,4.46E-07,4.23E-07,1.44E-06,2.53E-06,,
9.99E-06,1.95E-06,4.46E-07,4.23E-07,1.44E-06,,
9.99E-06,1.88E-06,1.95E-06,4.46E-07,4.23E-07,,
9.99E-06,9.52E-07,1.88E-06,1.95E-06,4.46E-07,,
9.99E-06,9.44E-07,9.52E-07,1.88E-06,1.95E-06,,
9.99E-06,1.71E-06,9.44E-07,9.52E-07,1.88E-06,,
9.99E-06,7.04E-07,1.71E-06,9.44E-07,9.52E-07,,
9.99E-06,5.94E-07,7.04E-07,1.71E-06,9.44E-07,,
9.99E-06,1.80E-06,5.94E-07,7.04E-07,1.71E-06,,
9.99E-06,2.28E-06,1.80E-06,5.94E-07,7.04E-07,,
9.99E-06,7.60E-07,2.28E-06,1.80E-06,5.94E-07,,
9.99E-06,8.96E-07,7.60E-07,2.28E-06,1.80E-06,,
9.99E-06,5.13E-07,8.96E-07,7.60E-07,2.28E-06,,
9.99E-06,9.37E-07,5.13E-07,8.96E-07,7.60E-07,,
9.99E-06,1.41E-06,9.37E-07,5.13E-07,8.96E-07,,
9.99E-06,2.09E-06,1.41E-06,9.37E-07,5.13E-07,,
9.99E-06,1.09E-06,2.09E-06,1.41E-06,9.37E-07,,
9.99E-06,4.31E-07,1.09E-06,2.09E-06,1.41E-06,,
9.99E-06,1.06E-06,4.31E-07,1.09E-06,2.09E-06,,
9.99E-06,1.33E-06,1.06E-06,4.31E-07,1.09E-06,,
9.99E-06,1.38E-06,1.33E-06,1.06E-06,4.31E-07,,
9.99E-06,2.01E-06,1.38E-06,1.33E-06,1.06E-06,,
