Bits,InputPower,OutputPower,DelayBit,OutputPowerWithoutDelay,FiberLength,
0,9.99E-07,3.47E-06,31.046875,6.84E-09,100,
0.015625,9.99E-07,3.28E-06,73.6875,5.22E-09,100,
0.03125,9.99E-07,3.41E-06,4.26E+01,5.70E-09,100,
0.046875,9.99E-07,3.84E-06,,6.65E-09,100,
0.0625,9.99E-07,4.26E-06,,4.71E-09,100,
0.078125,9.99E-07,4.68E-06,,5.74E-09,100,
0.09375,9.99E-07,4.68E-06,,4.87E-09,100,
0.109375,9.99E-07,4.62E-06,,4.40E-09,100,
0.125,9.99E-07,4.58E-06,,5.94E-09,100,
0.140625,9.99E-07,4.61E-06,,3.96E-09,100,
0.15625,9.99E-07,4.39E-06,,5.21E-09,100,
0.171875,9.99E-07,4.01E-06,,4.78E-09,100,
0.1875,9.99E-07,3.35E-06,,4.70E-09,100,
0.203125,9.99E-07,2.66E-06,,4.45E-09,100,
0.21875,9.99E-07,2.29E-06,,4.98E-09,100,
0.234375,9.99E-07,2.31E-06,,3.84E-09,100,
0.25,9.99E-07,2.57E-06,,4.71E-09,100,
0.265625,9.99E-07,2.77E-06,,4.66E-09,100,
0.28125,9.99E-07,2.64E-06,,3.96E-09,100,
0.296875,9.99E-07,2.36E-06,,4.75E-09,100,
0.3125,9.99E-07,2.06E-06,,4.38E-09,100,
0.328125,9.99E-07,1.96E-06,,3.79E-09,100,
0.34375,9.99E-07,2.05E-06,,4.86E-09,100,
0.359375,9.99E-07,2.16E-06,,4.29E-09,100,
0.375,9.99E-07,2.08E-06,,4.44E-09,100,
0.390625,9.99E-07,1.77E-06,,5.35E-09,100,
0.40625,9.99E-07,1.15E-06,,4.31E-09,100,
0.421875,9.99E-07,5.90E-07,,5.15E-09,100,
0.4375,9.99E-07,4.01E-07,,5.49E-09,100,
0.453125,9.99E-07,5.44E-07,,4.93E-09,100,
0.46875,9.99E-07,9.02E-07,,5.33E-09,100,
0.484375,9.99E-07,1.31E-06,,6.18E-09,100,
0.5,9.99E-07,1.94E-06,,5.17E-09,100,
0.515625,9.99E-07,2.58E-06,,6.60E-09,100,
0.53125,9.99E-07,2.93E-06,,6.15E-09,100,
0.546875,9.99E-07,3.12E-06,,5.63E-09,100,
0.5625,9.99E-07,3.24E-06,,7.62E-09,100,
0.578125,9.99E-07,3.24E-06,,5.76E-09,100,
0.59375,9.99E-07,3.13E-06,,7.52E-09,100,
0.609375,9.99E-07,3.01E-06,,7.32E-09,100,
0.625,9.99E-07,2.83E-06,,6.16E-09,100,
0.640625,9.99E-07,2.44E-06,,9.29E-09,100,
0.65625,9.99E-07,1.91E-06,,5.82E-09,100,
0.671875,9.99E-07,1.47E-06,,1.00E-08,100,
0.6875,9.99E-07,1.26E-06,,7.31E-09,100,
0.703125,9.99E-07,1.30E-06,,8.78E-09,100,
0.71875,9.99E-07,1.49E-06,,9.71E-09,100,
0.734375,9.99E-07,1.78E-06,,8.11E-09,100,
0.75,9.99E-07,2.16E-06,,9.59E-09,100,
0.765625,9.99E-07,2.64E-06,,1.02E-08,100,
0.78125,9.99E-07,3.09E-06,,8.71E-09,100,
0.796875,9.99E-07,3.34E-06,,1.15E-08,100,
0.8125,9.99E-07,3.48E-06,,9.75E-09,100,
0.828125,9.99E-07,3.66E-06,,1.04E-08,100,
0.84375,9.99E-07,4.13E-06,,1.12E-08,100,
0.859375,9.99E-07,4.95E-06,,1.11E-08,100,
0.875,9.99E-07,5.65E-06,,1.06E-08,100,
0.890625,9.99E-07,6.53E-06,,1.27E-08,100,
0.90625,9.99E-07,7.34E-06,,1.08E-08,100,
0.921875,9.99E-07,8.32E-06,,1.09E-08,100,
0.9375,9.99E-07,9.49E-06,,1.34E-08,100,
0.953125,9.99E-07,1.01E-05,,9.80E-09,100,
0.96875,9.99E-07,1.03E-05,,1.31E-08,100,
0.984375,9.99E-07,1.04E-05,,1.18E-08,100,
1,9.99E-07,1.02E-05,,1.11E-08,100,
1.015625,9.99E-07,9.76E-06,,1.30E-08,100,
1.03125,9.99E-07,9.63E-06,,1.13E-08,100,
1.046875,9.99E-07,1.01E-05,,1.19E-08,100,
